,author,title,sentence,sentence_nr,words,kind
36,"Kipling, Rudyard",Kim,Nine hundred firstclass devils whose God was a Red Bull on a green field would attend to Kim if they had not forgotten OHarapoor OHara that was gangforeman on the Ferozepore line,16,Kim,person
42,"Kipling, Rudyard",Kim,So it came about after his death that the woman sewed parchment paper and birthcertificate into a leather amuletcase which she strung round Kims neck,18,Kim,person
48,"Kipling, Rudyard",Kim,Ah said Kim I shall remember,20,Kim,person
53,"Kipling, Rudyard",Kim,If the woman had sent Kim up to the local JadooGher with those papers he would of course have been taken over by the Provincial Lodge and sent to the Masonic Orphanage in the Hills but what she had heard of magic she distrusted,23,Kim,person
56,"Kipling, Rudyard",Kim,Kim too held views of his own,24,Kim,person
59,"Kipling, Rudyard",Kim,For Kim did nothing with an immense success,26,Kim,person
62,"Kipling, Rudyard",Kim,True he knew the wonderful walled city of Lahore from the Delhi Gate to the outer Fort Ditch was hand in glove with men who led lives stranger than anything Haroun al Raschid dreamed of and he lived in a life wild as that of the Arabian Nights but missionaries and secretaries of charitable societies could not see the beauty of it,27,Delhi,location
63,"Kipling, Rudyard",Kim,True he knew the wonderful walled city of Lahore from the Delhi Gate to the outer Fort Ditch was hand in glove with men who led lives stranger than anything Haroun al Raschid dreamed of and he lived in a life wild as that of the Arabian Nights but missionaries and secretaries of charitable societies could not see the beauty of it,27,Fort Ditch,location
64,"Kipling, Rudyard",Kim,True he knew the wonderful walled city of Lahore from the Delhi Gate to the outer Fort Ditch was hand in glove with men who led lives stranger than anything Haroun al Raschid dreamed of and he lived in a life wild as that of the Arabian Nights but missionaries and secretaries of charitable societies could not see the beauty of it,27,Lahore,location
69,"Kipling, Rudyard",Kim,The woman who looked after him insisted with tears that he should wear European clothestrousers a shirt and a battered hat,31,Europe,location
70,"Kipling, Rudyard",Kim,Kim found it easier to slip into Hindu or Mohammedan garb when engaged on certain businesses,32,Kim,person
72,"Kipling, Rudyard",Kim,Kim found it easier to slip into Hindu or Mohammedan garb when engaged on certain businesses,32,Dan Dravot,person
73,"Kipling, Rudyard",Kim,One of the young men of fashionhe who was found dead at the bottom of a well on the night of the earthquakehad once given him a complete suit of Hindu kit the costume of a lowcaste street boy and Kim stored it in a secret place under some baulks in Nila Rams timberyard beyond the Punjab High Court where the fragrant deodar logs lie seasoning after they have driven down the Ravi,33,Kim,person
74,"Kipling, Rudyard",Kim,One of the young men of fashionhe who was found dead at the bottom of a well on the night of the earthquakehad once given him a complete suit of Hindu kit the costume of a lowcaste street boy and Kim stored it in a secret place under some baulks in Nila Rams timberyard beyond the Punjab High Court where the fragrant deodar logs lie seasoning after they have driven down the Ravi,33,Punjab,location
78,"Kipling, Rudyard",Kim,When there was business or frolic afoot Kim would use his properties returning at dawn to the veranda all tired out from shouting at the heels of a marriage procession or yelling at a Hindu festival,34,Kim,person
80,"Kipling, Rudyard",Kim,Sometimes there was food in the house more often there was not and then Kim went out again to eat with his native friends,35,Kim,person
82,"Kipling, Rudyard",Kim,As he drummed his heels against ZamZammah he turned now and again from his kingofthecastle game with little Chota Lal and Abdullah the sweetmeatsellers son to make a rude remark to the native policeman on guard over rows of shoes at the Museum door,36,Chota Lal,person
85,"Kipling, Rudyard",Kim,As he drummed his heels against ZamZammah he turned now and again from his kingofthecastle game with little Chota Lal and Abdullah the sweetmeatsellers son to make a rude remark to the native policeman on guard over rows of shoes at the Museum door,36,Mark,person
86,"Kipling, Rudyard",Kim,The big Punjabi grinned tolerantly he knew Kim of old,37,Kim,person
87,"Kipling, Rudyard",Kim,The big Punjabi grinned tolerantly he knew Kim of old,37,Punjab,location
90,"Kipling, Rudyard",Kim,So did Jawahir Singh the Museum carpenter bent over new packingcases,39,Jawahir Singh,person
94,"Kipling, Rudyard",Kim,The Museum was given up to Indian arts and manufactures and anybody who sought wisdom could ask the Curator to explain,41,India,location
98,"Kipling, Rudyard",Kim,Thy father was a pastrycook Thy mother stole the  ghi  sang Kim,44,Kim,person
100,"Kipling, Rudyard",Kim,All Mussalmans fell off ZamZammah long ago  Let  me  up shrilled little Chota Lal in his giltembroidered cap,45,Chota Lal,person
101,"Kipling, Rudyard",Kim,His father was worth perhaps half a million sterling but India is the only democratic land in the world,46,India,location
102,"Kipling, Rudyard",Kim,The Hindus fell off ZamZammah too,47,Hindus,person
104,"Kipling, Rudyard",Kim,Thy father was a pastrycook  He stopped for there shuffled round the corner from the roaring Motee Bazar such a man as Kim who thought he knew all castes had never seen,49,Kim,person
107,"Kipling, Rudyard",Kim,He was nearly six feet high dressed in fold upon fold of dingy stuff like horseblanketing and not one fold of it could Kim refer to any known trade or profession,50,Kim,person
113,"Kipling, Rudyard",Kim,Who is that said Kim to his companions,55,Kim,person
116,"Kipling, Rudyard",Kim,Without doubt returned Kim but he is no man of India that  I  have ever seen,57,Kim,person
117,"Kipling, Rudyard",Kim,Without doubt returned Kim but he is no man of India that  I  have ever seen,57,India,location
119,"Kipling, Rudyard",Kim,A priest perhaps said Chota Lal spying the rosary,58,Chota Lal,person
124,"Kipling, Rudyard",Kim,The constable spoke Punjabi,62,Punjab,location
125,"Kipling, Rudyard",Kim,O Friend of all the World what does he say  Send him hither said Kim dropping from ZamZammah flourishing his bare heels,63,Kim,person
132,"Kipling, Rudyard",Kim,The AjaibGher the Wonder House Kim gave him no titlesuch as Lala or Mian,68,Kim,person
141,"Kipling, Rudyard",Kim,I  am no banker laughed Kim,75,Kim,person
149,"Kipling, Rudyard",Kim,Have you come far Kim asked,82,Kim,person
154,"Kipling, Rudyard",Kim,Khitai a Chinaman said Abdullah proudly,86,China,location
156,"Kipling, Rudyard",Kim,Pahari a hillman said little Chota Lal,88,Chota Lal,person
158,"Kipling, Rudyard",Kim,Didst hear of Bhotiyal Tibet,90,Tibet,location
159,"Kipling, Rudyard",Kim,I am no Khitai but a Bhotiya Tibetan since you must knowa lamaor say a  guru  in your tongue,91,Tibet,location
160,"Kipling, Rudyard",Kim,A  guru  from Tibet said Kim I have not seen such a man,92,Kim,person
161,"Kipling, Rudyard",Kim,A  guru  from Tibet said Kim I have not seen such a man,92,Tibet,location
164,"Kipling, Rudyard",Kim,They be Hindus in Tibet then  We be followers of the Middle Way living in peace in our lamasseries and I go t,93,Tibet,location
165,"Kipling, Rudyard",Kim,They be Hindus in Tibet then  We be followers of the Middle Way living in peace in our lamasseries and I go t,93,Hindus,person
175,"Kipling, Rudyard",Kim,Is it true that there are many images in the Wonder House of Lahore,103,Lahore,location
183,"Kipling, Rudyard",Kim,Kim That is the Governments house and there is no idolatry in it but only a Sahib with a white beard,109,Kim,person
188,"Kipling, Rudyard",Kim,Strange priests eat boys whispered Chota Lal,111,Chota Lal,person
189,"Kipling, Rudyard",Kim,And he is a stranger and a  būtparast  idolater said Abdullah the Mohammedan,112,Dan Dravot,person
190,"Kipling, Rudyard",Kim,Kim laughed,113,Kim,person
194,"Kipling, Rudyard",Kim,Come  Kim clicked round the selfregistering turnstile the old man followed and halted amazed,116,Kim,person
198,"Kipling, Rudyard",Kim,In openmouthed wonder the lama turned to this and that and finally checked in rapt attention before a large altorelief representing a coronation or apotheosis of the Lord Buddha,119,Lord,person
204,"Kipling, Rudyard",Kim,The Lord,124,Lord,person
205,"Kipling, Rudyard",Kim,The Lord,125,Lord,person
206,"Kipling, Rudyard",Kim,It is Sakya Muni himself the lama half sobbed and under his breath began the wonderful Buddhist invocation  To Him the Waythe LawApart Whom Maya held beneath her heart Anandas Lordthe Bodhisat,126,Lord,person
212,"Kipling, Rudyard",Kim,What work  Yonder is the Sahib said Kim and dodged sideways among the cases of the arts and manufacturers wing,131,Kim,person
222,"Kipling, Rudyard",Kim,Welcome then O lama from Tibet,137,Tibet,location
227,"Kipling, Rudyard",Kim,Kim laid himself down his ear against a crack in the heatsplit cedar door and following his instinct stretched out to listen and watch,142,Kim,person
237,"Kipling, Rudyard",Kim,The Lordthe Excellent OneHe has honour here too,150,Lord,person
244,"Kipling, Rudyard",Kim,Here was the devout Asita the pendant of Simeon in the Christian story holding the Holy Child on his knee while mother and father listened and here were incidents in the legend of the cousin Devadatta,157,Dan Dravot,person
245,"Kipling, Rudyard",Kim,Here was the devout Asita the pendant of Simeon in the Christian story holding the Holy Child on his knee while mother and father listened and here were incidents in the legend of the cousin Devadatta,157,Sita,person
248,"Kipling, Rudyard",Kim,And they went at it all over again the lama taking snuff wiping his spectacles and talking at railway speed in a bewildering mixture of Urdu and Tibetan,160,Tibet,location
256,"Kipling, Rudyard",Kim,For the first time he heard of the labours of European scholars who by the help of these and a hundred other documents have identified the Holy Places of Buddhism,166,Europe,location
264,"Kipling, Rudyard",Kim,Kim had fallen asleep,171,Kim,person
288,"Kipling, Rudyard",Kim,When our gracious Lord being as yet a youth sought a mate men said in His fathers Court that He was too tender for marriage,192,Lord,person
292,"Kipling, Rudyard",Kim,And at the test of the Bow our Lord first breaking that which they gave Him called for such a bow as none might bend,196,Lord,person
298,"Kipling, Rudyard",Kim,And overshooting all other marks the arrow passed far and far beyond sight,199,Mark,person
299,"Kipling, Rudyard",Kim,At the last it fell and where it touched earth there broke out a stream which presently became a River whose nature by our Lords beneficence and that merit He acquired ere He freed himself is that whoso bathes in it washes away all taint and speckle of sin  So it is written said the Curator sadly,200,Lord,person
331,"Kipling, Rudyard",Kim,But whither goest thou  First to Kashi Benares where else,230,Benares,location
338,"Kipling, Rudyard",Kim,It is a far cry to Delhi and farther to Benares  By road and the trains,237,Delhi,location
339,"Kipling, Rudyard",Kim,It is a far cry to Delhi and farther to Benares  By road and the trains,237,Benares,location
348,"Kipling, Rudyard",Kim,The Curator smiled at the mixture of oldworld piety and modern progress that is the note of India today,246,India,location
360,"Kipling, Rudyard",Kim,He nodded his head valiantly,257,Mahbub Ali,person
385,"Kipling, Rudyard",Kim,Kim followed like a shadow,280,Kim,person
388,"Kipling, Rudyard",Kim,This man was entirely new to all his experience and he meant to investigate further precisely as he would have investigated a new building or a strange festival in Lahore city,282,Lahore,location
390,"Kipling, Rudyard",Kim,Kims mother had been Irish too,284,Kim,person
394,"Kipling, Rudyard",Kim,The old man halted by ZamZammah and looked round till his eye fell on Kim,285,Kim,person
399,"Kipling, Rudyard",Kim,Owl was Kims retort on the lamas behalf,289,Kim,person
404,"Kipling, Rudyard",Kim,That was an utterly unfounded charge sprung on the spur of the moment but it silenced Dunnoo who knew that Kims clear yell could call up legions of bad bazaar boys if need arose,292,Kim,person
407,"Kipling, Rudyard",Kim,And whom didst thou worship within said Kim affably squatting in the shade beside the lama,293,Kim,person
411,"Kipling, Rudyard",Kim,Kim accepted this new God without emotion,296,Kim,person
417,"Kipling, Rudyard",Kim,In silence as we do of Tibet or speaking aloud  Those who beg in silence starve in silence said Kim quoting a native proverb,301,Kim,person
418,"Kipling, Rudyard",Kim,In silence as we do of Tibet or speaking aloud  Those who beg in silence starve in silence said Kim quoting a native proverb,301,Tibet,location
423,"Kipling, Rudyard",Kim,Kim watched head to one side considering and interested,303,Kim,person
432,"Kipling, Rudyard",Kim,She knew Kim of old,311,Kim,person
436,"Kipling, Rudyard",Kim,Nay said Kim proudly,314,Kim,person
442,"Kipling, Rudyard",Kim,Is the father of my son a well of charity to give to all who ask  No said Kim Thy man is rather  yagi  badtempered than  yogi  a holy man,319,Kim,person
457,"Kipling, Rudyard",Kim,Up flew Kims hard little heel and caught him on his moist blue nose,331,Kim,person
468,"Kipling, Rudyard",Kim,But my  yogi  is not a cow said Kim gravely making a hole with his fingers in the top of the mound,340,Kim,person
474,"Kipling, Rudyard",Kim,But she filled it none the less with good steaming vegetable curry clapped a fried cake atop and a morsel of clarified butter on the cake dabbed a lump of sour tamarind conserve at the side and Kim looked at the load lovingly,343,Kim,person
486,"Kipling, Rudyard",Kim,But Kim had danced off ere the end of the sentence dodging pariah dogs and hungry acquaintances,354,Kim,person
488,"Kipling, Rudyard",Kim,But Kim had danced off ere the end of the sentence dodging pariah dogs and hungry acquaintances,354,Dan Dravot,person
498,"Kipling, Rudyard",Kim,He loosed a thin stream into Kims hands who drank native fashion but the lama must needs pull out a cup from his inexhaustible upper draperies and drink ceremonially,364,Kim,person
501,"Kipling, Rudyard",Kim, Pardesi  a foreigner Kim explained as the old man delivered in an unknown tongue what was evidently a blessing,365,Kim,person
505,"Kipling, Rudyard",Kim,Kim loafed over to the nearest tobaccoseller a rather lively young Mohammedan woman and begged a rank cigar of the brand that they sell to students of the Punjab University who copy English customs,368,Kim,person
506,"Kipling, Rudyard",Kim,Kim loafed over to the nearest tobaccoseller a rather lively young Mohammedan woman and begged a rank cigar of the brand that they sell to students of the Punjab University who copy English customs,368,Punjab,location
508,"Kipling, Rudyard",Kim,Kim loafed over to the nearest tobaccoseller a rather lively young Mohammedan woman and begged a rank cigar of the brand that they sell to students of the Punjab University who copy English customs,368,Dan Dravot,person
525,"Kipling, Rudyard",Kim,It was in my mind to have taught him the Law upon the road to Benares,385,Benares,location
526,"Kipling, Rudyard",Kim,Kim stood amazed at this because he had overheard the talk in the Museum and knew that the old man was speaking the truth which is a thing a native on the road seldom presents to a stranger,386,Kim,person
532,"Kipling, Rudyard",Kim,The River of the Arrow said Kim with a superior smile,389,Kim,person
538,"Kipling, Rudyard",Kim,Who art thou  Thy  chela  said Kim simply sitting on his heels,392,Kim,person
541,"Kipling, Rudyard",Kim,I go with thee to Benares,394,Benares,location
552,"Kipling, Rudyard",Kim,Thou dost not then know the River  Not I Kim laughed uneasily,401,Kim,person
558,"Kipling, Rudyard",Kim,Boylike if an acquaintance had a scheme Kim was quite ready with one of his own and boylike he had really thought for as much as twenty minutes at a time of his fathers prophecy,404,Kim,person
566,"Kipling, Rudyard",Kim,Perhaps they will make me a king said Kim serenely prepared for anything,411,Kim,person
571,"Kipling, Rudyard",Kim,Let us go to Benares  Not by night,413,Benares,location
576,"Kipling, Rudyard",Kim,We shall get good lodging at the Kashmir Serai said Kim laughing at his perplexity,418,Kim,person
580,"Kipling, Rudyard",Kim,The hot and crowded bazars blazed with light as they made their way through the press of all the races in Upper India and the lama mooned through it like a man in a dream,421,India,location
581,"Kipling, Rudyard",Kim,It was his first experience of a large manufacturing city and the crowded tramcar with its continually squealing brakes frightened him,422,Mahbub Ali,person
582,"Kipling, Rudyard",Kim,Half pushed half towed he arrived at the high gate of the Kashmir Serai that huge open square over against the railway station surrounded with arched cloisters where the camel and horse caravans put up on their return from Central Asia,423,Central Asia,location
583,"Kipling, Rudyard",Kim,Half pushed half towed he arrived at the high gate of the Kashmir Serai that huge open square over against the railway station surrounded with arched cloisters where the camel and horse caravans put up on their return from Central Asia,423,Asia,location
592,"Kipling, Rudyard",Kim,Thus Lutuf Ullah is gone to Kurdistan,428,Lutuf Ullah,person
594,"Kipling, Rudyard",Kim,Below in coarse verse O Allah who sufferest lice to live on the coat of a Kabuli why hast thou allowed this louse Lutuf to live so long,429,Kabul,location
596,"Kipling, Rudyard",Kim,Kim fending the lama between excited men and excited beasts sidled along the cloisters to the far end nearest therailway station where Mahbub Ali the horsetrader lived when he came in from that mysterious land beyond the Passes of the North,430,Kim,person
597,"Kipling, Rudyard",Kim,Kim fending the lama between excited men and excited beasts sidled along the cloisters to the far end nearest therailway station where Mahbub Ali the horsetrader lived when he came in from that mysterious land beyond the Passes of the North,430,Mahbub Ali,person
598,"Kipling, Rudyard",Kim,Kim fending the lama between excited men and excited beasts sidled along the cloisters to the far end nearest therailway station where Mahbub Ali the horsetrader lived when he came in from that mysterious land beyond the Passes of the North,430,Mahbub Ali,person
599,"Kipling, Rudyard",Kim,Kim fending the lama between excited men and excited beasts sidled along the cloisters to the far end nearest therailway station where Mahbub Ali the horsetrader lived when he came in from that mysterious land beyond the Passes of the North,430,Mahbub Ali,person
602,"Kipling, Rudyard",Kim,Kim had had many dealings with Mahbub in his little life especially between his tenth and his thirteenth yearand the big burly Afghan his beard dyed scarlet with lime for he was elderly and did not wish his grey hairs to show knew the boys value as a gossip,431,Kim,person
603,"Kipling, Rudyard",Kim,Kim had had many dealings with Mahbub in his little life especially between his tenth and his thirteenth yearand the big burly Afghan his beard dyed scarlet with lime for he was elderly and did not wish his grey hairs to show knew the boys value as a gossip,431,Mahbub Ali,person
604,"Kipling, Rudyard",Kim,Kim had had many dealings with Mahbub in his little life especially between his tenth and his thirteenth yearand the big burly Afghan his beard dyed scarlet with lime for he was elderly and did not wish his grey hairs to show knew the boys value as a gossip,431,Mahbub Ali,person
607,"Kipling, Rudyard",Kim,Sometimes he would tell Kim to watch a man who had nothing whatever to do with horses to follow him for one whole day and report every soul with whom he talked,432,Kim,person
609,"Kipling, Rudyard",Kim,Kim would deliver himself of his tale at evening and Mahbub would listen without a word or gesture,433,Kim,person
610,"Kipling, Rudyard",Kim,Kim would deliver himself of his tale at evening and Mahbub would listen without a word or gesture,433,Mahbub Ali,person
613,"Kipling, Rudyard",Kim,It was intrigue of some kind Kim knew but its worth lay in saying nothing whatever to anyone except Mahbub who gave him beautiful meals all hot from the cookshop at the head of the serai and once as much as eight annas in money,434,Kim,person
614,"Kipling, Rudyard",Kim,It was intrigue of some kind Kim knew but its worth lay in saying nothing whatever to anyone except Mahbub who gave him beautiful meals all hot from the cookshop at the head of the serai and once as much as eight annas in money,434,Mahbub Ali,person
617,"Kipling, Rudyard",Kim,He is here said Kim hitting a badtempered camel on the nose,435,Kim,person
619,"Kipling, Rudyard",Kim,Ohé Mahbub Ali,436,Mahbub Ali,person
620,"Kipling, Rudyard",Kim,Ohé Mahbub Ali,436,Mahbub Ali,person
621,"Kipling, Rudyard",Kim,Ohé Mahbub Ali,436,Mahbub Ali,person
629,"Kipling, Rudyard",Kim,It is far from Lahore to the Passes,443,Lahore,location
632,"Kipling, Rudyard",Kim,Gods curse on all unbelievers said Mahbub,446,Mahbub Ali,person
634,"Kipling, Rudyard",Kim,I do not give to a lousy Tibetan but ask my Baltis over yonder behind the camels,447,Tibet,location
639,"Kipling, Rudyard",Kim,Go said Kim pushing him lightly and the lama strode away leaving Kim at the edge of the cloister,452,Kim,person
641,"Kipling, Rudyard",Kim,Go said Mahbub Ali returning to his hookah,453,Mahbub Ali,person
642,"Kipling, Rudyard",Kim,Go said Mahbub Ali returning to his hookah,453,Mahbub Ali,person
643,"Kipling, Rudyard",Kim,Go said Mahbub Ali returning to his hookah,453,Mahbub Ali,person
648,"Kipling, Rudyard",Kim,Maharaj whined Kim using the Hindu form of address and thoroughly enjoying the situation my father is deadmy mother is deadmy stomach is empty,457,Kim,person
651,"Kipling, Rudyard",Kim,There must be some Hindus in my tail,459,Hindus,person
652,"Kipling, Rudyard",Kim,Oh Mahbub Ali but am  I  a Hindu said Kim in English,460,Kim,person
653,"Kipling, Rudyard",Kim,Oh Mahbub Ali but am  I  a Hindu said Kim in English,460,Mahbub Ali,person
654,"Kipling, Rudyard",Kim,Oh Mahbub Ali but am  I  a Hindu said Kim in English,460,Mahbub Ali,person
655,"Kipling, Rudyard",Kim,Oh Mahbub Ali but am  I  a Hindu said Kim in English,460,Mahbub Ali,person
660,"Kipling, Rudyard",Kim,I am now that holy mans disciple and we go a pilgrimage togetherto Benares he says,463,Benares,location
661,"Kipling, Rudyard",Kim,He is quite mad and I am tired of Lahore city,464,Lahore,location
671,"Kipling, Rudyard",Kim,Give me a rupee Mahbub Ali and when I come to my wealth I will give thee a bond and pay,474,Mahbub Ali,person
672,"Kipling, Rudyard",Kim,Give me a rupee Mahbub Ali and when I come to my wealth I will give thee a bond and pay,474,Mahbub Ali,person
673,"Kipling, Rudyard",Kim,Give me a rupee Mahbub Ali and when I come to my wealth I will give thee a bond and pay,474,Mahbub Ali,person
675,"Kipling, Rudyard",Kim,Um said Mahbub Ali thinking swiftly,475,Mahbub Ali,person
676,"Kipling, Rudyard",Kim,Um said Mahbub Ali thinking swiftly,475,Mahbub Ali,person
677,"Kipling, Rudyard",Kim,Um said Mahbub Ali thinking swiftly,475,Mahbub Ali,person
683,"Kipling, Rudyard",Kim,Oh our tales will agree said Kim laughing,478,Kim,person
685,"Kipling, Rudyard",Kim,We go to Benares said the lama as soon as he understood the drift of Mahbub Alis questions,479,Mahbub Ali,person
686,"Kipling, Rudyard",Kim,We go to Benares said the lama as soon as he understood the drift of Mahbub Alis questions,479,Mahbub Ali,person
687,"Kipling, Rudyard",Kim,We go to Benares said the lama as soon as he understood the drift of Mahbub Alis questions,479,Benares,location
688,"Kipling, Rudyard",Kim,We go to Benares said the lama as soon as he understood the drift of Mahbub Alis questions,479,Mahbub Ali,person
695,"Kipling, Rudyard",Kim,Such things have befallen the fortunate to whom guidance was allowed,484,Dan Dravot,person
706,"Kipling, Rudyard",Kim,Go sit among my Baltis said Mahbub Ali and the lama drifted off soothed by the promise,494,Mahbub Ali,person
707,"Kipling, Rudyard",Kim,Go sit among my Baltis said Mahbub Ali and the lama drifted off soothed by the promise,494,Mahbub Ali,person
708,"Kipling, Rudyard",Kim,Go sit among my Baltis said Mahbub Ali and the lama drifted off soothed by the promise,494,Mahbub Ali,person
710,"Kipling, Rudyard",Kim,Is he not quite mad said Kim coming forward to the light again,495,Kim,person
712,"Kipling, Rudyard",Kim,Why should I lie to thee Hajji  Mahbub puffed his hookah in silence,496,Mahbub Ali,person
714,"Kipling, Rudyard",Kim,Then he began almost whispering Umballa is on the road to Benaresif indeed ye two go there,497,Umballa,location
715,"Kipling, Rudyard",Kim,Then he began almost whispering Umballa is on the road to Benaresif indeed ye two go there,497,Benares,location
720,"Kipling, Rudyard",Kim,And if thou wilt carry a message for me as far as Umballa I will give thee money,501,Umballa,location
723,"Kipling, Rudyard",Kim,But thenstand nearer and hold up hands as beggingthe pedigree of the white stallion was not fully established and that officer who is now at Umballa bade me make it clear,503,Umballa,location
725,"Kipling, Rudyard",Kim,Mahbub here described the horse and th,504,Mahbub Ali,person
730,"Kipling, Rudyard",Kim,He will then say What proof hast thou and thou wilt answer Mahbub Ali has given me the proof,508,Mahbub Ali,person
731,"Kipling, Rudyard",Kim,He will then say What proof hast thou and thou wilt answer Mahbub Ali has given me the proof,508,Mahbub Ali,person
732,"Kipling, Rudyard",Kim,He will then say What proof hast thou and thou wilt answer Mahbub Ali has given me the proof,508,Mahbub Ali,person
734,"Kipling, Rudyard",Kim,And all for the sake of a white stallion said Kim with a giggle his eyes aflame,509,Kim,person
737,"Kipling, Rudyard",Kim,A shadow passed behind Kim and a feeding camel,511,Kim,person
739,"Kipling, Rudyard",Kim,Mahbub Ali raised his voice,512,Mahbub Ali,person
740,"Kipling, Rudyard",Kim,Mahbub Ali raised his voice,512,Mahbub Ali,person
741,"Kipling, Rudyard",Kim,Mahbub Ali raised his voice,512,Mahbub Ali,person
751,"Kipling, Rudyard",Kim,Kim slunk away his teeth in the bread and as he expected he found a small wad of folded tissuepaper wrapped in oilskin with three silver rupeesenormous largesse,521,Kim,person
755,"Kipling, Rudyard",Kim,The lama sumptuously fed by Mahbubs Baltis was already asleep in a corner of one of the stalls,523,Mahbub Ali,person
757,"Kipling, Rudyard",Kim,The lama sumptuously fed by Mahbubs Baltis was already asleep in a corner of one of the stalls,523,Mahbub Ali,person
759,"Kipling, Rudyard",Kim,The lama sumptuously fed by Mahbubs Baltis was already asleep in a corner of one of the stalls,523,Mahbub Ali,person
761,"Kipling, Rudyard",Kim,Kim lay down beside him and laughed,524,Kim,person
763,"Kipling, Rudyard",Kim,He knew he had rendered a service to Mahbub Ali and not for one little minute did he believe the tale of the stallions pedigree,525,Mahbub Ali,person
764,"Kipling, Rudyard",Kim,He knew he had rendered a service to Mahbub Ali and not for one little minute did he believe the tale of the stallions pedigree,525,Mahbub Ali,person
765,"Kipling, Rudyard",Kim,He knew he had rendered a service to Mahbub Ali and not for one little minute did he believe the tale of the stallions pedigree,525,Mahbub Ali,person
767,"Kipling, Rudyard",Kim,But Kim did not suspect that Mahbub Ali known as one of the best horsedealers in the Punjab a wealthy and enterprising trader whose caravans penetrated far and far into the Back of Beyond was registered in one of the locked books of the Indian Survey Department as C25 IB,526,Kim,person
768,"Kipling, Rudyard",Kim,But Kim did not suspect that Mahbub Ali known as one of the best horsedealers in the Punjab a wealthy and enterprising trader whose caravans penetrated far and far into the Back of Beyond was registered in one of the locked books of the Indian Survey Department as C25 IB,526,Punjab,location
769,"Kipling, Rudyard",Kim,But Kim did not suspect that Mahbub Ali known as one of the best horsedealers in the Punjab a wealthy and enterprising trader whose caravans penetrated far and far into the Back of Beyond was registered in one of the locked books of the Indian Survey Department as C25 IB,526,India,location
770,"Kipling, Rudyard",Kim,But Kim did not suspect that Mahbub Ali known as one of the best horsedealers in the Punjab a wealthy and enterprising trader whose caravans penetrated far and far into the Back of Beyond was registered in one of the locked books of the Indian Survey Department as C25 IB,526,Mahbub Ali,person
